Oud label (kolom J)	Genormaliseerd (kolom J)	Probleem categorie (kolom AA)	Rijen in export
Advies gegeven	Vraag / advies	Overig	488
Vraag over service	Vraag over service	Onderweg	304
Plaatsen / Naar boven tillen	Plaatsen / Naar boven tillen	Nazorg nodig	221
Klant niet bereikbaar / verkeerd nummer	Klant niet bereikbaar / verkeerd nummer	Onderweg	212
Advies gegeven aan KS	Vraag / advies	Overig	208
Adres niet gevonden / niet bereikbaar	Adres niet gevonden / niet bereikbaar	Onderweg	139
Trekschakelaar aansluiten	Trekschakelaar aansluiten	Nazorg nodig	128
KS vraagt om held terug te sturen	Held terugsturen (taak niet gespecificeerd)	Planning / administratie	121
Apparaat inbouwen (Keuken)	Apparaat inbouwen (Keuken)	Nazorg nodig	115
Milieuretour ophalen	Milieuretour ophalen	Nazorg nodig	88
Afhandeling buiten DS: Held moet dit bij afmelden regelen met TL	Buiten DS: held regelt met TL	Overig	76
Product niet aanwezig	Product niet aanwezig	Probleem bij de klant	73
Adres klopt niet	Adres klopt niet	Onderweg	68
Vraag over pakket: Pakket niet meegenomen / niet ingeladen	Pakket niet meegenomen / niet ingeladen	Pakket	61
KS: Advies gegeven aan KS	Vraag / advies	Overig	51
KS: KS vraagt om held terug te sturen	Held terugsturen (taak niet gespecificeerd)	Planning / administratie	47
Product past niet op gewenste plek — held geïnformeerd voor Jerney-afmelding	Product past niet op gewenste plek	Probleem bij de klant	36
TV ophangen en installeren	TV ophangen en installeren	Nazorg nodig	36
Klant niet thuis	Klant niet thuis	Onderweg	35
Afhandeling buiten DS: Klant moet KS bellen	Buiten DS: klant doorverwezen naar KS	Overig	33
Buiten DS-scope: klant moet zelf KS bellen	Buiten DS: klant doorverwezen naar KS	Overig	33
Onverwacht retour	Onverwacht retour	Probleem bij de klant	33
Onderweg: Advies gegeven	Vraag / advies	Overig	32
Schade / Defect	Schade / Defect	Probleem bij de klant	32
Onderweg: Adres niet gevonden / niet bereikbaar	Adres niet gevonden / niet bereikbaar	Onderweg	30
Onderweg: Adres klopt niet	Adres klopt niet	Onderweg	29
Vraag over pakket: Overige vraag over pakket	Overige vraag over pakket	Pakket	29
Onderweg: Vraag over service	Vraag over service	Onderweg	27
